"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","100","1276-1448-1-ND","CL05A105MP5NNNC","CAP CER 1UF 10V X5R 0402","C1, C3, C5, C9, C10, C11","100","0","0.01460","1.46"
"2","100","311-1018-1-ND","CC0402JRNPO9BN220","CAP CER 22PF 50V C0G/NPO 0402","C13, C14","100","0","0.01640","1.64"
"3","100","1276-1004-1-ND","CL05F104ZO5NNNC","CAP CER 0.1UF 16V Y5V 0402","C15","100","0","0.01060","1.06"
"4","100","490-4915-1-ND","GCM155R71H472KA37D","CAP CER 4700PF 50V X7R 0402","C8","100","0","0.02300","2.30"
"5","100","490-12538-1-ND","GRM188R60J106KE47D","CAP CER 10UF 6.3V X5R 0603","C2, C4, C6, C7, C12","100","0","0.07490","7.49"
"6","100","MCS0402-10.0K-CFCT-ND","MCS04020C1002FE000","RES SMD 10K OHM 1% 1/10W 0402","R6, R9, R10, R11, R12","100","0","0.09930","9.93"
"7","100","RMCF0402ZT0R00CT-ND","RMCF0402ZT0R00","RES 0 OHM JUMPER 1/16W 0402","R13, R14, R15, R16, R17","100","0","0.00500","0.50"
"8","100","P100KDCCT-ND","ERA-2AEB104X","RES SMD 100K OHM 0.1% 1/16W 0402","R1, R3, R5","100","0","0.12890","12.89"
"9","100","311-2.20KLRCT-ND","RC0402FR-072K2L","RES SMD 2.2K OHM 1% 1/16W 0402","R2","100","0","0.00760","0.76"
"10","100","P1.0KDECT-ND","ERA-2AED102X","RES SMD 1K OHM 0.5% 1/16W 0402","R7","100","0","0.07350","7.35"
"11","100","311-1.00MLRCT-ND","RC0402FR-071ML","RES SMD 1M OHM 1% 1/16W 0402","R8","100","0","0.00760","0.76"
"12","10","445-173005-1-ND","VLS201610HBX-100M-1","FIXED IND 10UH 650MA 768 MOHM","L1","10","0","0.34200","3.42"
"13","100","MMBT2222A-FDICT-ND","MMBT2222A-7-F","TRANS NPN 40V 0.6A SMD SOT23-3","Q1, Q2","100","0","0.07290","7.29"
"14","20","DMG3415UDICT-ND","DMG3415U-7","MOSFET P-CH 20V 4A SOT-23","Q3","20","0","0.39000","7.80"
"15","5","ATSAMD51J20A-AU-ND","ATSAMD51J20A-AU","120MHZ 1024KB FLASH 64 TQFP PKG","U2","5","0","5.01000","25.05"
"16","25","MCP73831T-2ACI/OTCT-ND","MCP73831T-2ACI/OT","IC CONTROLLR LI-ION 4.2V SOT23-5","U4","25","0","0.48400","12.10"
"17","100","AP2112K-3.3TRG1DICT-ND","AP2112K-3.3TRG1","IC REG LINEAR 3.3V 600MA SOT25","U5","100","0","0.22550","22.55"
"18","10","1904-1010-1-ND","ESP32-WROOM-32","SMD MODULE, ESP32-D0WDQ6, 32MBIT","U3","10","0","6.23700","62.37"
"19","50","1253-1335-1-ND","ST3215SB32768E0HPWBB","CRYSTAL 32.7680KHZ 9PF SMD","X1","50","0","0.54400","27.20"
"20","50","CKN10246CT-ND","KMR231NG LFS","SWITCH TACTILE SPST-NO 0.05A 32V","SW1","50","0","0.47120","23.56"
"21","25","475-2488-1-ND","LO R976-PS-1","LED ORANGE DIFFUSED 0805 SMD","CHRG1","25","0","0.20200","5.05"
"22","25","160-1469-1-ND","LTST-S220KRKT","LED RED CLEAR CHIP SMD R/A","RED1","25","0","0.17000","4.25"
"23","25","609-4618-1-ND","10118194-0001LF","CONN USB MICRO B RECPT SMT R/A","J1","25","0","0.38000","9.50"
"24","25","455-1734-1-ND","B2B-PH-SM4-TB(LF)(SN)","CONN HEADER PH TOP 2POS 2MM SMD","J4","25","0","0.52000","13.00"
"25","25","WM12834CT-ND","5031821852","MICRO SD NORMAL ULTRALOWPRO8CKTE","J3","25","0","1.98880","49.72"
"26","10","S5677-ND","NPTC072KFMS-RC","CONN FEMALE 14POS DL .1"" TIN SMD","J5","10","0","1.50600","15.06"
"27","10","609-3485-1-ND","95278-101A14LF","BERGSTIK HDR 14POS .100"" DR SMT","J5 (ALT)","10","0","1.26500","12.65"